Franchise	From	To
01	1993	2018
02	2006	2018
03	1993	2006
04	1979	2018
05	2014	2018
06	1996	2014
07	1979	1996
08	1924	2018
09	1970	2018
10	1972	2018
11	1980	2018
12	1972	1980
13	1979	2018
14	1997	2018
15	1979	1997
16	1926	2018
17	1986	2018
18	1926	1986
19	1979	2018
20	1995	2018
21	1979	1995
22	2000	2018
23	1967	2018
24	1993	2018
25	1967	1993
26	1926	2018
27	1932	2018
28	1930	1932
29	1926	1930
30	1979	2018
31	1993	2018
32	1967	2018
33	2000	2018
34	1917	2018
35	1998	2018
36	1974	2018
37	1982	2018
38	1976	1982
39	1974	1976
40	1972	2018
41	1926	2018
42	1992	2018
43	1967	2018
44	1967	2018
45	1991	2018
46	1967	2018
47	1992	2018
48	1917	2018
49	1926	2018
50	1919	1926
51	1917	1919
52	1970	2018
53	2017	2018
54	1974	2018
55	1999	2018
56	2011	2018
57	1999	2011
