From	To	Yrs	GP	W	L	T	OL	PTS	PTS%	Yrs Plyf	Div	Conf	Champ	St Cup
1993	2018	24	1902	909	734	107	152	2077	0.546	14	6	2	1	1
2006	2018	12	950	528	307	nan	115	1171	0.616	10	6	1	1	1
1993	2006	12	952	381	427	107	37	906	0.476	4	0	1	0	0
1979	2018	38	3026	1239	1378	266	143	2887	0.477	19	1	0	0	0
2014	2018	4	328	118	172	nan	38	274	0.418	0	0	0	0	0
1996	2014	17	1360	615	546	94	105	1429	0.525	8	1	0	0	0
1979	1996	17	1338	506	660	172	nan	1184	0.442	11	0	0	0	0
1924	2018	93	6418	3115	2349	791	163	7184	0.56	71	28	4	6	6
1970	2018	47	3738	1727	1460	409	142	4005	0.536	29	6	1	0	0
1972	2018	45	3582	1653	1417	379	133	3818	0.533	28	6	3	1	1
1980	2018	37	2946	1385	1157	271	133	3174	0.539	22	6	3	1	1
1972	1980	8	636	268	260	108	nan	644	0.506	6	0	0	0	0
1979	2018	38	3026	1241	1368	263	154	2899	0.479	13	4	2	1	1
1997	2018	20	1606	707	659	86	154	1654	0.515	5	3	2	1	1
1979	1997	18	1420	534	709	177	nan	1245	0.438	8	1	0	0	0
1926	2018	91	6352	2720	2672	814	146	6400	0.504	62	17	4	6	6
1986	2018	31	2466	1152	971	197	146	2647	0.537	21	6	4	3	3
1926	1986	60	3886	1568	1701	617	nan	3753	0.483	41	11	0	3	3
1979	2018	38	3026	1385	1264	261	116	3147	0.52	23	11	2	2	2
1995	2018	22	1770	888	665	101	116	1993	0.563	14	9	2	2	2
1979	1995	16	1256	497	599	160	nan	1154	0.459	9	2	0	0	0
2000	2018	17	1360	580	619	33	128	1321	0.486	4	0	0	0	0
1967	2018	50	3964	1739	1633	459	133	4070	0.513	31	10	3	1	1
1993	2018	24	1902	981	663	125	133	2220	0.584	14	8	2	1	1
1967	1993	26	2062	758	970	334	nan	1850	0.449	17	2	1	0	0
1926	2018	91	6352	2921	2458	815	158	6815	0.536	64	29	6	11	11
1932	2018	85	6084	2823	2330	773	158	6577	0.541	62	29	6	11	11
1930	1932	2	92	34	41	17	nan	85	0.462	1	0	0	0	0
1926	1930	4	176	64	87	25	nan	153	0.435	1	0	0	0	0
1979	2018	38	3026	1362	1255	262	147	3133	0.518	21	6	7	5	5
1993	2018	24	1902	781	798	142	181	1885	0.496	5	2	1	0	0
1967	2018	50	3964	1673	1724	424	143	3913	0.494	30	1	3	2	2
2000	2018	17	1360	652	520	55	133	1492	0.549	9	1	0	0	0
1917	2018	100	6578	3374	2220	837	147	7732	0.588	83	37	3	25	23
1998	2018	19	1524	739	578	60	147	1685	0.553	11	1	1	0	0
1974	2018	43	3426	1456	1502	328	140	3380	0.493	23	9	5	3	3
1982	2018	35	2786	1316	1111	219	140	2991	0.537	22	9	5	3	3
1976	1982	6	480	113	281	86	nan	312	0.325	1	0	0	0	0
1974	1976	2	160	27	110	23	nan	77	0.241	0	0	0	0	0
1972	2018	45	3582	1573	1520	347	142	3635	0.507	24	6	3	4	4
1926	2018	91	6352	2787	2629	808	128	6510	0.512	59	8	2	4	4
1992	2018	25	1986	894	831	115	146	2049	0.516	16	4	1	0	0
1967	2018	50	3964	1976	1371	457	160	4569	0.576	39	16	4	2	2
1967	2018	50	3964	1782	1669	383	130	4077	0.514	33	9	6	5	5
1991	2018	26	2066	974	829	121	142	2211	0.535	20	6	1	0	0
1967	2018	50	3964	1815	1578	432	139	4201	0.53	41	9	0	0	0
1992	2018	25	1986	844	893	112	137	1937	0.488	10	3	2	1	1
1917	2018	100	6578	2883	2762	783	150	6699	0.509	67	8	0	13	13
1926	2018	91	6352	2771	2653	778	150	6470	0.509	63	7	0	11	11
1919	1926	7	186	94	87	5	nan	193	0.519	3	1	0	1	1
1917	1919	2	40	18	22	0	nan	36	0.45	1	0	0	1	1
1970	2018	47	3738	1555	1654	391	138	3639	0.487	27	10	3	0	0
2017	2018	1	82	51	24	nan	7	109	0.665	1	1	nan	nan	nan
1974	2018	43	3426	1575	1406	303	142	3595	0.525	28	11	1	0	0
1999	2018	18	1442	610	648	45	139	1404	0.487	3	1	0	0	0
2011	2018	7	540	268	211	nan	61	597	0.553	2	0	0	0	0
1999	2011	11	902	342	437	45	78	807	0.447	1	1	0	0	0
